team_abbr,team_name,team_id,team_nick,team_color,team_color2,team_color3,team_color4,team_logo_wikipedia,team_logo_espn,team_wordmark
ARI,Arizona Cardinals,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,"https://imagecomposer.nfl.com/image/fetch/q_80,h_48,c_fill/http://static.www.nfl.com/league/apps/clubs/wordmarks/ARI_fullcolor.png"
ATL,Atlanta Falcons,0200,Falcons,#a71930,#000000,#a5acaf,#a30d2d,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,"https://imagecomposer.nfl.com/image/fetch/q_80,h_48,c_fill/http://static.www.nfl.com/league/apps/clubs/wordmarks/ATL_fullcolor.png"
BAL,Baltimore Ravens,0325,Ravens,#241773,#000000,#9e7c0c,#c60c30,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,"https://imagecomposer.nfl.com/image/fetch/q_80,h_48,c_fill/http://static.www.nfl.com/league/apps/clubs/wordmarks/BAL_fullcolor.png"
BUF,Buffalo Bills,0610,Bills,#00338d,#c60c30,#0c2e82,#d50a0a,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,"https://imagecomposer.nfl.com/image/fetch/q_80,h_48,c_fill/http://static.www.nfl.com/league/apps/clubs/wordmarks/BUF_fullcolor.png"
CAR,Carolina Panthers,0750,Panthers,#0085ca,#000000,#bfc0bf,#0085ca,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,"https://imagecomposer.nfl.com/image/fetch/q_80,h_48,c_fill/http://static.www.nfl.com/league/apps/clubs/wordmarks/CAR_fullcolor.png"
CHI,Chicago Bears,0810,Bears,#0b162a,#c83803,#0b162a,#c83803,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,"https://imagecomposer.nfl.com/image/fetch/q_80,h_48,c_fill/http://static.www.nfl.com/league/apps/clubs/wordmarks/CHI_fullcolor.png"
CIN,Cincinnati Bengals,0920,Bengals,#000000,#fb4f14,#000000,#d32f1e,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,"https://imagecomposer.nfl.com/image/fetch/q_80,h_48,c_fill/http://static.www.nfl.com/league/apps/clubs/wordmarks/CIN_fullcolor.png"
CLE,Cleveland Browns,1050,Browns,#fb4f14,#22150c,#a5acaf,#d32f1e,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,"https://imagecomposer.nfl.com/image/fetch/q_80,h_48,c_fill/http://static.www.nfl.com/league/apps/clubs/wordmarks/CLE_fullcolor.png"
DAL,Dallas Cowboys,1200,Cowboys,#002244,#b0b7bc,#acc0c6,#a5acaf,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,"https://imagecomposer.nfl.com/image/fetch/q_80,h_48,c_fill/http://static.www.nfl.com/league/apps/clubs/wordmarks/DAL_fullcolor.png"
DEN,Denver Broncos,1400,Broncos,#002244,#fb4f14,#00234c,#ff5200,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,"https://imagecomposer.nfl.com/image/fetch/q_80,h_48,c_fill/http://static.www.nfl.com/league/apps/clubs/wordmarks/DEN_fullcolor.png"
DET,Detroit Lions,1540,Lions,#005a8b,#b0b7bc,#000000,#004e89,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,"https://imagecomposer.nfl.com/image/fetch/q_80,h_48,c_fill/http://static.www.nfl.com/league/apps/clubs/wordmarks/DET_fullcolor.png"
GB,Green Bay Packers,1800,Packers,#203731,#ffb612,#1c2d25,#eead1e,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,"https://imagecomposer.nfl.com/image/fetch/q_80,h_48,c_fill/http://static.www.nfl.com/league/apps/clubs/wordmarks/GB_fullcolor.png"
HOU,Houston Texans,2120,Texans,#03202f,#a71930,#00071c,#a30d2d,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,"https://imagecomposer.nfl.com/image/fetch/q_80,h_48,c_fill/http://static.www.nfl.com/league/apps/clubs/wordmarks/HOU_fullcolor.png"
IND,Indianapolis Colts,2200,Colts,#002c5f,#a5acaf,#013369,#9ba1a2,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,"https://imagecomposer.nfl.com/image/fetch/q_80,h_48,c_fill/http://static.www.nfl.com/league/apps/clubs/wordmarks/IND_fullcolor.png"
JAX,Jacksonville Jaguars,2250,Jaguars,#000000,#006778,#9f792c,#d7a22a,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,"https://imagecomposer.nfl.com/image/fetch/q_80,h_48,c_fill/http://static.www.nfl.com/league/apps/clubs/wordmarks/JAX_fullcolor.png"
