full_name,gsis_id,new_id
David Akers,00-0000108,32013030-2d30-3030-3031-3038742ce8f8
Brendon Ayanbadejo,00-0000551,32013030-2d30-3030-3035-3531a40fe15d
Champ Bailey,00-0000585,32013030-2d30-3030-3035-383546687ff0
Ronde Barber,00-0000741,32013030-2d30-3030-3037-3431b5341631
Charlie Batch,00-0000865,32013030-2d30-3030-3038-3635f69471c1
Matt Birk,00-0001263,32013030-2d30-3030-3132-363334d424ed
Keith Brooking,00-0001820,32013030-2d30-3030-3138-32308b1952f9
Mark Brunell,00-0002110,32013030-2d30-3030-3231-31302960c423
Kerry Collins,00-0003292,32013030-2d30-3030-3332-3932713f5047
Brian Dawkins,00-0004073,32013030-2d30-3030-3430-373369e0394e
Phil Dawson,00-0004091,32013030-2d30-3030-3430-3931f3af5642
Jake Delhomme,00-0004161,32013030-2d30-3030-3431-36314534ade6
Donald Driver,00-0004541,32013030-2d30-3030-3435-3431e902e643
James Farrior,00-0005082,32013030-2d30-3030-3530-3832a83db4ac
Kevin Faulk,00-0005091,32013030-2d30-3030-3530-3931d6f1cd7e
London Fletcher,00-0005322,32013030-2d30-3030-3533-3232d1cf24c7
Tony Gonzalez,00-0006101,32013030-2d30-3030-3631-303195dc3244
Kelly Gregg,00-0006398,32013030-2d30-3030-3633-3938d929166a
Jason Hanson,00-0006800,32013030-2d30-3030-3638-3030809874ec
Al Harris,00-0006915,32013030-2d30-3030-3639-31356bd88d9b
Matt Hasselbeck,00-0007091,32013030-2d30-3030-3730-39316c93ae22
Vonnie Holliday,00-0007611,32013030-2d30-3030-3736-3131cd8c97c3
John Kasay,00-0009028,32013030-2d30-3030-3930-32389d1a90ad
Reggie Kelly,00-0009119,32013030-2d30-3030-3931-31393cbcd5e8
Jon Kitna,00-0009311,32013030-2d30-3030-3933-3131367590c9
Jimmy Kleinsasser,00-0009323,32013030-2d30-3030-3933-3233987100c2
Olin Kreutz,00-0009472,32013030-2d30-3030-3934-3732a5ab367a
Ray Lewis,00-0009889,32013030-2d30-3030-3938-383947e5c9d1
Ryan Longwell,00-0010072,32013030-2d30-3031-3030-3732c2acb990
Patrick Mannelly,00-0010341,32013030-2d30-3031-3033-3431262b667b
Peyton Manning,00-0010346,32013030-2d30-3031-3033-3436e2e70d78
Olindo Mare,00-0010373,32013030-2d30-3031-3033-3733ae8cef2a
Derrick Mason,00-0010500,32013030-2d30-3031-3035-3030b8fff8aa
Brad Maynard,00-0010609,32013030-2d30-3031-3036-3039b3cdebd3
Todd McClure,00-0010711,32013030-2d30-3031-3037-31317f97d23c
Donovan McNabb,00-0011022,32013030-2d30-3031-3130-3232b50875be
Brian Moorman,00-0011626,32013030-2d30-3031-3136-323648665259
Randy Moss,00-0011754,32013030-2d30-3031-3137-3534658285bc
Mike Peterson,00-0012871,32013030-2d30-3031-3238-373131e16375
Joey Porter,00-0013126,32013030-2d30-3031-3331-32367fb63f62
Jeff Saturday,00-0014375,32013030-2d30-3031-3433-37353260d015
Mike Sellers,00-0014655,32013030-2d30-3031-3436-3535357e93e4
Aaron Smith,00-0015080,32013030-2d30-3031-3530-3830d750219a
Takeo Spikes,00-0015474,32013030-2d30-3031-3534-37344069d880
Brandon Stokley,00-0015754,32013030-2d30-3031-3537-353471e15680
Jason Taylor,00-0016112,32013030-2d30-3031-3631-31328b5c1afd
Matt Turk,00-0016689,32013030-2d30-3031-3636-3839da153745
Adam Vinatieri,00-0016919,32013030-2d30-3031-3639-3139bbb7103e
Hines Ward,00-0017162,32013030-2d30-3031-3731-36328f5aa145
Casey Wiegmann,00-0017638,32013030-2d30-3031-3736-333858ff4957
Ricky Williams,00-0017915,32013030-2d30-3031-3739-3135ce63f577
Antoine Winfield,00-0018093,32013030-2d30-3031-3830-393319467161
Charles Woodson,00-0018227,32013030-2d30-3031-3832-32378cb4504c
Brian Waters,00-0018584,32013030-2d30-3031-3835-38346c05017f
Brad Meester,00-0018956,32013030-2d30-3031-3839-3536b3613cd2
Billy Volek,00-0019041,32013030-2d30-3031-3930-3431ebc5d385
Paris Lenon,00-0019104,32013030-2d30-3031-3931-3034439a2c41
Justin Snow,00-0019188,32013030-2d30-3031-3931-383898a3a6a5
Lonie Paxton,00-0019213,32013030-2d30-3031-3932-31331aaeaa59
Rian Lindell,00-0019310,32013030-2d30-3031-3933-313071fe069e
James Hall,00-0019387,32013030-2d30-3031-3933-3837d9c7ab88
Mike Leach,00-0019435,32013030-2d30-3031-3934-3335a73da7e8
Brian Urlacher,00-0019456,32013030-2d30-3031-3934-3536d4a8cbc8
Anthony Becht,00-0019457,32013030-2d30-3031-3934-3537d06e129d
Na'il Diggs,00-0019467,32013030-2d30-3031-3934-363730acead1
Sammy Morris,00-0019484,32013030-2d30-3031-3934-3834ae9192ef
Shayne Graham,00-0019536,32013030-2d30-3031-3935-33361f008d8d
Clark Haggans,00-0019538,32013030-2d30-3031-3935-333832dc2a2a
Shaun Ellis,00-0019545,32013030-2d30-3031-3935-34358f908945
John Abraham,00-0019546,32013030-2d30-3031-3935-3436292cbbcc
Brian Jennings,00-0019548,32013030-2d30-3031-3935-34389b808a24
Deon Grant,00-0019560,32013030-2d30-3031-3935-36303c1c31de
Tom Brady,00-0019596,32013030-2d30-3031-3935-39361b587621
Bobbie Williams,00-0019629,32013030-2d30-3031-3936-3239faf372e6
Cooper Carlisle,00-0019632,32013030-2d30-3031-3936-33325de60f34
Thomas Jones,00-0019641,32013030-2d30-3031-3936-3431c06ee897
Plaxico Burress,00-0019642,32013030-2d30-3031-3936-343229b3d1b0
Sebastian Janikowski,00-0019646,32013030-2d30-3031-3936-3436cd59f424
Neil Rackers,00-0019676,32013030-2d30-3031-3936-373642253162
Chad Clifton,00-0019702,32013030-2d30-3031-3937-3032195f3406
Fred Robbins,00-0019706,32013030-2d30-3031-3937-30362a8073d6
Chris Redman,00-0019709,32013030-2d30-3031-3937-3039dda68e05
Shane Lechler,00-0019714,32013030-2d30-3031-3937-31345bd2fef8
Jay Feely,00-0019770,32013030-2d30-3031-3937-37304370e41f
Lawrence Tynes,00-0019778,32013030-2d30-3031-3937-373896d6e372
Jason Baker,00-0019921,32013030-2d30-3031-3939-3231db5ac90c
Chris Hoke,00-0019940,32013030-2d30-3031-3939-34308f53d357
Juqua Parker,00-0019986,32013030-2d30-3031-3939-3836beec6724
Mike Vick,00-0020245,32013030-2d30-3032-3032-3435b1d69a2f
Roberto Garza,00-0020260,32013030-2d30-3032-3032-3630212f82da
Nick Harris,00-0020267,32013030-2d30-3032-3032-363734fb87a8
Ron Edwards,00-0020286,32013030-2d30-3032-3032-38365f92a88a
A.J. Feeley,00-0020305,32013030-2d30-3032-3033-3035a2bdfac5
Steve Smith,00-0020337,32013030-2d30-3032-3033-3337ff38c404
Kyle Vanden Bosch,00-0020382,32013030-2d30-3032-3033-383218b443cb
Russ Hochstein,00-0020389,32013030-2d30-3032-3033-3839b2e27f35
Chad Johnson,00-0020397,32013030-2d30-3032-3033-3937433a30de
Ryan Diem,00-0020399,32013030-2d30-3032-3033-3939a1492eae
Casey Hampton,00-0020426,32013030-2d30-3032-3034-3236deb0fb20
T.J. Houshmandzadeh,00-0020438,32013030-2d30-3032-3034-3338c842790d
Richard Seymour,00-0020442,32013030-2d30-3032-3034-3432d065a6c3
Jeff Backus,00-0020444,32013030-2d30-3032-3034-34345221434d
